Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,7.6601,0.0006,7.5788,0.0005
2,7.5317,0.0018,7.4632,0.0021
3,7.4153,0.0025,7.3452,0.0031
4,7.3279,0.0035,7.2533,0.0031
5,7.2384,0.0035,7.1452,0.0062
6,7.1336,0.0049,6.9919,0.0062
7,7.0046,0.0051,6.8175,0.0133
8,6.867,0.0072,6.6429,0.0179
9,6.7256,0.0082,6.4778,0.02
10,6.5965,0.0111,6.3266,0.0205
11,6.4696,0.0134,6.1635,0.0292
12,6.3536,0.014,6.0319,0.0338
13,6.2414,0.0178,5.904,0.0395
14,6.1315,0.0177,5.7868,0.0359
15,6.0414,0.0198,5.6227,0.0421
16,5.9229,0.0232,5.553,0.0615
17,5.795,0.0269,5.3643,0.0651
18,5.6846,0.0349,5.2413,0.0769
19,5.5799,0.0369,5.1496,0.0779
20,5.4601,0.044,5.0459,0.0918
21,5.3698,0.0514,4.933,0.0949
22,5.2638,0.0562,4.8476,0.1067
23,5.1654,0.0578,4.6959,0.1215
24,5.0768,0.0631,4.6428,0.1154
25,4.9892,0.0755,4.5619,0.1308
26,4.912,0.0771,4.4389,0.1544
27,4.829,0.0822,4.3981,0.1508
28,4.7551,0.0898,4.337,0.161
29,4.6687,0.1025,4.2387,0.1744
30,4.6066,0.1022,4.1314,0.1867
31,4.5271,0.1145,4.0748,0.2026
32,4.472,0.1138,4.0412,0.2
33,4.402,0.1225,3.939,0.2154
34,4.3435,0.132,3.8669,0.2287
35,4.2648,0.1371,3.8308,0.22
36,4.211,0.1457,3.7836,0.2277
37,4.1562,0.1505,3.7119,0.2482
38,4.097,0.1614,3.6505,0.2492
39,4.0399,0.1623,3.5744,0.2631
40,3.9912,0.1698,3.4948,0.2646
41,3.941,0.1722,3.4539,0.2774
42,3.8811,0.1842,3.4417,0.2656
43,3.8318,0.1902,3.4189,0.2703
44,3.7918,0.1932,3.3232,0.3
45,3.7446,0.2046,3.264,0.3021
46,3.7063,0.2114,3.2477,0.299
47,3.667,0.2151,3.1664,0.3123
48,3.6096,0.2262,3.1377,0.3251
49,3.5679,0.2265,3.0966,0.3421
50,3.5203,0.2317,3.1061,0.3277
51,3.485,0.2435,3.0398,0.3313
52,3.4415,0.2455,2.9771,0.3441
53,3.3928,0.2486,2.9925,0.339
54,3.3605,0.2565,2.9455,0.3513
55,3.3246,0.2651,2.8873,0.3533
56,3.2857,0.2726,2.9022,0.3549
57,3.2602,0.2757,2.8549,0.3574
58,3.1996,0.2906,2.7736,0.3841
59,3.1755,0.2838,2.7479,0.379
60,3.148,0.2982,2.7152,0.3851
61,3.1088,0.2969,2.6766,0.4005
62,3.0471,0.3122,2.6579,0.3913
63,3.0339,0.3065,2.6389,0.4082
